title,lang,source_name,format,category,cefr_level,license,text
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Group of men in blue uniform are emptying supplies off the cargo plane .
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,A man stands up to make a speech at a family gathering .
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,It's our little secret .
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Have you ever met a shark ?
na,en,readme,sentence-level,reference,A1,CC BY SA NC 4.0,I can't go with that girl .
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,He was taken by these divers .
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,A boy sits where it's windy and shows us his collection of cards and how he shuffles them.
na,en,readme,sentence-level,reference,A1,CC BY SA NC 4.0,Two girls are moving their hands around and then their legs to music.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,A man is cutting designs into a pineapple and trying to sell it to the photographer.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Several young men participate in a ball game on a grassy area as one of them kicks a large ball.
na,en,readme,sentence-level,reference,A1,CC BY SA NC 4.0,They're all gonna hate me.
na,en,readme,sentence-level,reference,A1,CC BY SA NC 4.0,And you can call me Camila.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Who knows if we'll ever figure that out.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Your make-up application says i failed clown college.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Start the day with a big bowl of why the fuck am i awake.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,My memory lane is now mostly traffic cones.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"A sheep, a drum, and a snake fall down a cliff... ba-dumm-tss"
na,en,readme,sentence-level,reference,A1,CC BY SA NC 4.0,Would you be interested?
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Is it an antique?
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"Hi, I'm interested in your iphone."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"Hello , is that the Peace Restaurant ?"
na,en,readme,sentence-level,reference,A1,CC BY SA NC 4.0,"Hello , is there anything I can do for you ?"
na,en,readme,sentence-level,reference,A1,CC BY SA NC 4.0,Here comes the last course !
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"Hello , do you know anywhere that sells cheap cashmere sweaters ?"
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,cancel all alarms this week while I'm on vacation
na,en,readme,sentence-level,reference,A1,CC BY SA NC 4.0,cancel alarm for 4pm
na,en,readme,sentence-level,reference,A1,CC BY SA NC 4.0,Add an alarm on Saturday at  11 am
na,en,readme,sentence-level,reference,A1,CC BY SA NC 4.0,Show me my alarm
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,When is the next alarm set for?
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,One must be so careful these days
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"My cousin’s, he took me out on a sled"
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"Here is Belladonna, the Lady of the Rocks"
na,en,readme,sentence-level,reference,A1,CC BY SA NC 4.0,Because you voted.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,We know that women still get paid less than men.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"So I was really inspired by her actions, and I decided that I would start striking as well."
na,en,readme,sentence-level,reference,A1,CC BY SA NC 4.0,What is a place?
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Your reply is utterly inappropriate.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Be yourself; everyone else is already taken.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,It is better to be hated for what you are than to be loved for what you are not.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"I've learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"I've just found 10,000 ways that won't work."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Maricopa County Elections deleted their database
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Low Flu cases this year prove that the pandemic is fake
na,en,readme,sentence-level,reference,A1,CC BY SA NC 4.0,Don't say i didn't tell you so.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"Now Is Not The Time To Stop Wearing A Mask,' Says CDC Director Rochelle Walensky"
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,not my aunt trying to convince me not to get the vaccine bc itll make me “infertile” girl log off facebook
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"Don't worry, there will be a disco ball."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,The ugly Christmas sweaters went fast.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,It might not all be bad news.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,The practice of bundling is that of selling two or more goods together as a package.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"For example, the US is a major wheat exporter."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Taxes are analyzed in the next section.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"Many people have contributed to this book and I am grateful for their guidance, inspiration, expertise,  and good eyes."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"Therefore, when we are hungry , we often have a specific food item in mind."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"As an example, if you have a cup of cof fee that has only a very little bit of sugar in it (say one  teaspoon), adding another teaspoon of sugar will make a big dif ference in taste."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Sharing : Culture is the product of people sharing with one another .
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Availability Bias  : Making decisions based on immediate information or examples that come to  mind
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Encryption does not always work as desired.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"Psychology is the scientific study of behavior, cognition, and emotion"
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,It   allowed the study of new subjects including children and animals
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"Do not pick it up from a corner, or even from two sides and hold it at eye level."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"Common methods of digital drawing include a stylus or finger on a touchscreen device, stylus- or finger-to-touchpad, or in some cases, a mouse."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Drawing diagrams of observations is an important part of scientific study.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"Other tools used are circle compass, ruler, and set square."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"An artist who practices or works in technical drawing may be called a drafter, draftsman, or draughtsman."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"Thus, the environment plays a huge role in people's decision factor to utilize bicycle touring more."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Isolation of infectious persons or materials to prevent spread of infection.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"Mankind has fought battles on the sea for more than 3,000 years."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"On May 29, 1453, Constantinople fell into Ottoman control."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"In Sub-Saharan Africa, where there was no continent-wide universal Bronze Age, the use of iron immediately succeeded the use of stone."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Jacob Bernoulli proposed the Bernoulli differential equation in 1695.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Religious humanism appeared mostly in the US and is now rarely practiced.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"Depending upon the requirement, social workers are often involved in illness education, counseling and psychotherapy."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"In the UK, the professional association is the British Association of Social Workers (BASW) with just over 18,000 members (as of August 2015)."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Procedural memory is memory for the performance of particular types of action.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,A simple model of the process is shown below:
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"Rockets are used for fireworks, weaponry, ejection seats, launch vehicles for artificial satellites, human spaceflight and exploration of other planets."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,He paused and his legal adviser asked that the titles be read.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"But when the Pope had seen what this quiet monk could do, he called the artist to him."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,What should they know of England who only England know?
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,The studio where Cimabue worked was not at all like those artists' rooms which we now call studios.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,But the little prince could not restrain his admiration
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"But he was in Turkish costume, and so nobody would believe what he said."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,For what the king fundamentally insisted upon was that his authority should be respected.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,The fourth planet belonged to a businessman.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,He could not say anything more.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,But he laughed lightly.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"You have, I know, confidence in me."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"So he cleaned out the extinct volcano, too."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,So I tossed off this drawing.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,And after some work with a colored pencil I succeeded in making my first drawing.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"I was only twenty meters from the wall, and I still saw nothing."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,That was his first moment of regret.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"He was standing before a garden, all a-bloom with roses."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"Then one morning, exactly at sunrise, she suddenly showed herself."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"He laughed, touched the rope, and set the pulley to working."
na,en,readme,sentence-level,reference,A1,CC BY SA NC 4.0,The clock struck six.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"“Will you tell me where you are going, you wretch?”"
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,She would gladly have thrown something at his head.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"The girl stared boldly at her father, and showing the shoes which she had on her feet:—"
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"It's comfortable and enjoyable, but you definitely miss the exciting twists and turns of a back-country road."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,All the thoughts and opinions are my own.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"I love the direction that these books are going, giving Harry a new burst of life after his decision to quit the force."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,I love Elvis and Joe equally!
na,en,readme,sentence-level,reference,A1,CC BY SA NC 4.0,What could the motive be?
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,By the end I was gasping at surprises and racing to pick up this book every chance I got.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,It was really fun to revisit this story that has stood out in my memory for so long.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,The Hollywood aspect and the creepy house with Scooby Doo vibes made me enjoy it even more.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,This is a suspenseful detective story with interesting characters.
na,en,readme,sentence-level,reference,A1,CC BY SA NC 4.0,Definitely read this book!
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,I don’t want to say anymore so I do not spoil anything for the ones that still haven’t read it.
na,en,readme,sentence-level,reference,A1,CC BY SA NC 4.0,I do get that.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,This is a fantastic murder mystery and a spooky ghost tale with important cultural links!
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,The dialogue was sharp and fun.
na,en,readme,sentence-level,reference,A1,CC BY SA NC 4.0,!
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,most of us have heard of this controverisal book.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"I would recommend this property to any reader, relative, or friend."
na,en,readme,sentence-level,reference,A1,CC BY SA NC 4.0,What an amazing spot!
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"But all in all, I wouldn't hesitate to go back!"
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Our organization just got back from another fantastic conference at the Town and Country.
na,en,readme,sentence-level,reference,A1,CC BY SA NC 4.0,Worst experience ever!!!
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"Very clean and comfortable, excellent internet, beautifully appointed room with coffee maker, TV, alarm clock, shower (no tub)."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,It had all the lay I needed.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,The staff worked overtime and very hard to make everyone feel comfortable and well taken care of!
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,It only takes a few steps to the Piazza dei Miracoli !
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,The rooms are pretty and spotless.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,The only negatives were that our large bed was actually 2 twins pushed together.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Perfect for calm stay for two or for having really nice rest
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"The room was a good size with comfortable beds, very clean, sufficient outlets for our electronic devices, complimentary wifi and an awesome view from our window."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,We stay at this hotel frequently when we travel to visit family.
na,en,readme,sentence-level,reference,A1,CC BY SA NC 4.0,All the staff were lovely.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"Britney, our waitress at tea-time, was outstanding."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"We stayed for 2 nights 14th &amp; 15th October, having booked on lastminute.com."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"Put some likable characters in it, for Pete's sake."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"While the show seemed to lose its way a bit in the later episodes, it was ultimately an engaging murder mystery."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,No sane person could hate this wonderful film.
na,en,readme,sentence-level,reference,A1,CC BY SA NC 4.0,Dafne Keen and James McAvoy are superb!
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"It is close, but my vote is they should take Kaley."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Elf seems to have become a Christmas Classic over the years.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Actors are superb.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"There's a reason why some Christmas films become classics, watched every year without fail."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,The flashback to young Lofthouse is rather unnecessary.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,The CGI were excellent too.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"If you saw the first one, you know what happened to Chris, and it is explained how he shows up here."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,For the first time in her life she has confidence and strength.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Do not watch this if you thought it was going to be like downton abbey or the crown.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,It wasn't my style as it wasn't really a crime thriller it was definitely more on the 'comedy' side (although I didn't laugh).
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Have you ever seen Stallone look scared?
na,en,readme,sentence-level,reference,A1,CC BY SA NC 4.0,Sorry but these are a waste of money!
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Don’t buy this product.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,The battery covers screw stripped out the first day on both cars I purchased for Christmas.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,I’ll be tossing them after eating a few out one bag.
na,en,readme,sentence-level,reference,A1,CC BY SA NC 4.0,This lasted 2 weeks after using it for 1 days.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,First of all the package was shoved into my mail box and was basically crushed when I pulled it out.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,All the wax got stuck at the top and would never flow.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,The item u sent me was not what I ordered no stars
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,My dog eats them but I prefer a more chewy treat for my dog.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"Tried it again several more times, and it caught and kicked every time."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,I will not be purchasing from this company again.
na,en,readme,sentence-level,reference,A1,CC BY SA NC 4.0,They broke right away.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,What a waste of my time waiting for this to arrive.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,This wax gets extremely hot.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"I wouldn't know because it says that my item was delivered, but it is not here."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,It wasn't the size in the picture never again going to buy this product
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,I didn't bother to take them out of the bag and you can have them back.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"I ordered a screen for an iPhone 8 Plus, but recevied product that was for a different phone."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,The wires did not last long at all.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,The dragon was missing paint and there was glue or something all over the dragon.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,They were not stitched.
na,en,readme,sentence-level,reference,A1,CC BY SA NC 4.0,I mean the case looks cool.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,On first use it didn't heat up and now it doesn't work at all
na,en,readme,sentence-level,reference,A1,CC BY SA NC 4.0,I feel ripped off.
na,en,readme,sentence-level,reference,A1,CC BY SA NC 4.0,Never received item.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,It seems to have lots of fat (a white greasy substance) in it!
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"Hot dishes are not hot, cold dishes are close to room temp.I watched staff prepare food with BARE HANDS, no gloves.Everything is deep fried in oil."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Paying $7.85 for a hot dog and fries that looks like it came out of a kid's meal at the Wienerschnitzel is not my idea of a good meal.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"No allergy warnings on the menu, and the waitress had absolutely no clue as to which meals did or did not contain peanuts."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,We waited for thirty minutes to be seated (although there were 8 vacant tables and we were the only folks waiting).
na,en,readme,sentence-level,reference,A1,CC BY SA NC 4.0,"The first time I ever came here I had an amazing experience, I still tell people how awesome the duck was."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,I love that they put their food in nice plastic containers as opposed to cramming it in little paper takeout boxes.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"I personally love the hummus, pita, baklava, falafels and Baba Ganoush (it's amazing what they do with eggplant!"
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,I asked multiple times for the wine list and after some time of being ignored I went to the hostess and got one myself.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"I had high hopes for this place since the burgers are cooked over a charcoal grill, but unfortunately the taste fell flat, way flat."
na,en,readme,sentence-level,reference,A1,CC BY SA NC 4.0,I would not suggest this place!
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"Anyways, The food was definitely not filling at all, and for the price you pay you should expect more."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"I also had to taste my Mom's multi-grain pumpkin pancakes with pecan butter and they were amazing, fluffy, and delicious!"
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,You could also use a drill to easily cut out eyes if you’re carving a face in your pumpkin.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"A good rule of thumb is to look at how many layers you’re wearing, and then add one more for your baby."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"If you’re headed outside, your baby will need more protection."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,All it takes is a little creativity and a commitment to workout regularly.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Make simple shape cutouts with cookie cutters and a rubber mallet.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"If you don’t dry your pumpkin, it may develop mold faster."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Use an LED light for a fire-safe alternative.
na,en,readme,sentence-level,reference,A1,CC BY SA NC 4.0,"Use cookie cutters with spooky shapes, like ghosts, bats, or moons."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"In general, if you feel too warm and need to take off a few layers, your baby probably does, too."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,It’s normal for your mind to wander.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"Otherwise, cotton or wool outer layers will keep your baby warm and cozy all day."
na,en,readme,sentence-level,reference,A1,CC BY SA NC 4.0,You could also lie outside on a blanket.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Make sure your hand can easily fit inside the hole so you’re able to scoop out the seeds.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Lighting and Displaying Carved Pumpkins
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"If you’re headed outside, put a wide-brimmed hat on your baby to provide them the shade that they need."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,A flickering LED light looks just like a candle without a real flame.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"Try essential oils like eucalyptus, lavender, rose, or rosemary."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Poke holes in the pumpkin with push pins to outline a stenciled design.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Place your hands behind you on this bench so that your butt is in the air and your knees are bent 90 degrees.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Each set should be eight to twelve reps. You might try doing up to three sets.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,You might repeat your intention as you roll the egg.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Cover all bananas with filling.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,No lumps should be present.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Make sure banana slices are covered by pie filling.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"Remove from heat, add butter and vanilla."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Drizzle Worcestershire sauce over lettuce.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"Bring to a boil over medium heat, stirring constantly."
na,en,readme,sentence-level,reference,A1,CC BY SA NC 4.0,Preheat oven to 350 degrees F (175 degrees C).
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Add marshmallow creme and chocolate chips; blend until smooth.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Refrigerate until firm.
na,en,readme,sentence-level,reference,A1,CC BY SA NC 4.0,Slice 2 bananas.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"When meat is half-baked, add rice."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"In the top of a double boiler, whisk together sugar, flour, salt and milk."
na,en,readme,sentence-level,reference,A1,CC BY SA NC 4.0,Beat egg in a small bowl.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Slice remaining 2 bananas.
