english,hsk_level,chinese,pinyin
It was really quite unintentional.,2,这实在不是有意的。,zhè shí zài bú shì yǒu yì de。
There are some color balloons.,2,那儿有些彩色的气球。,nà r yǒu xiē cǎi sè de qì qiú。
It is nothing but a joke.,2,这不过是个笑话而已。,zhè bù guò shì gè xiào huà ér yǐ。
I can't solve the problem.,2,我解答不了这个难题。,wǒ jiě dá bù liǎo zhè gè nán tí。
She looks like an athlete.,2,她看起来像运动员。,tā kàn qǐ lai xiàng yùn dòng yuán。
They were very reluctant to help.,2,他们不大愿意帮忙。,tā men bú dà yuàn yì bāng máng。
He's coming out of hospital on Friday.,2,他星期五要出院了.,tā xīng qī wǔ yào chū yuàn le.
They were very reluctant to help.,2,他们不大愿意帮忙。,tā men bú dà yuàn yì bāng máng。
Don't hurry; there's plenty of time.,2,"别忙, 有的是时间.","biè máng,  yǒu de shì shí jiān."
She has clapped a telegram for me.,2,她给我拍了封电报。,tā jǐ wǒ pāi le fēng diàn bào。
I'm of exactly the same idea.,2,我的想法完全相同。,wǒ de xiǎng fǎ wán quán xiāng tóng。
He took his sister along with him.,2,他带着姐姐一同去。,tā dài zhuó jiě jie yī tóng qù。
Each man has his own name.,2,每个人都有自己的名字.,měi gè rén dōu yǒu zì jǐ de míng zi.
The car is pretty nearly new.,2,那辆车跟新的差不多.,nà liàng jū gēn xīn de cī bù duō.
They've done some business together.,2,他们一起做过生意。,tā men yī qǐ zuò guò shēng yi。
Japan lies to the east of China.,2,日本在中国的东面。,Rì běn zài Zhōng guó de dōng miàn。
The book has a red wrapper.,2,这本书有红色的包装。,zhè běn shū yǒu hóng sè de bāo zhuāng。
I have a matter of importance to deal with.,2,我有要事要处理。,wǒ yǒu yào shì yào chǔ lǐ。
It's a matter of academic concern.,2,那是学术方面的事。,nà shì xué shù fāng miàn de shì。
Suppose I reserve seats in advance.,2,我先去定好座位吧。,wǒ xiān qù dìng hào zuò wèi ba。
Don't rush: take your time.,2,"别急急忙忙的, 慢慢来.","biè jí jí máng máng de,  màn màn lái."
I am the owner of this house.,2,我是这所房子的主人。,wǒ shì zhè suǒ fáng zi de zhǔ rén。
Let me drink to your health.,2,让我为你的健康干杯。,ràng wǒ wèi nǐ de jiàn kāng gān bēi。
Please reserve a seat for me.,2,请为我预定一个座位。,qǐng wèi wǒ yù dìng yī gè zuò wèi。
I know she is steady in her purpose.,2,我知道她意志坚定。,wǒ zhī dào tā yì zhì jiān dìng。
He had some rice for supper.,2,晚饭时他吃了一些米饭。,wǎn fàn shí tā jí le yī xiē mǐ fàn。
Fancy seeing you here.,2,真想不到在这儿遇见你。,zhēn xiǎng bù dào zài zhèr yù jiàn nǐ。
There is a tree in front of the house.,2,房子前面有一棵树。,fáng zi qián mian yǒu yī kē shù。
My roommate gets up later than I do.,2,我的同屋比我起得晚。,wǒ de tóng wū bì wǒ qǐ de wǎn。
"You're late, as usual.",2,你像平常一样又迟到了.,nǐ xiàng píng cháng yí yàng yòu chí dào le.
The horses are eating grass on the grassland.,2,马在草地上吃草。,mǎ zài cǎo dì shàng jí cǎo。
She's a walking textbook of medicine.,2,她是活的医学教科书.,tā shì huó de yī xué jiào kē shū.
He is unmoved in his decision.,2,他对他的决定很坚定。,tā duì tā de jué dìng hěn jiān dìng。
School children are on vacation.,2,小学生们正在放假。,xiǎo xué shēng men zhèng zài fàng jià。
The rain is coming from the west.,2,这场雨是从西面来的.,zhè chǎng yǔ shì zòng xī miàn lái de.
Run or else you'll be late.,2,快跑，不然你要迟到了。,kuài pǎo， bù rán nǐ yào chí dào le。
The second term commences in March.,2,第二学期自三月开始。,dì èr xué qī zì sān yuè kāi shǐ。
The surgeon has performed the operation.,2,外科医生做了手术。,wài kē yī shēng zuò le shǒu shù。
He performed the job with practised skill.,2,他干这工作很熟练.,tā gàn zhè gōng zuò hěn shú liàn.
He always stands his ground.,2,他总是坚持自己的立场。,tā zǒng shì jiān chí zì jǐ de lì chǎng。
She had been taught to weave as a child.,2,她从小就学会了织布.,tā cóng xiǎo jiù xué huì le zhī bù.
I recollect that she had red hair.,2,我记得她长着红头发。,wǒ jì de tā zhǎng zhuó hóng tóu fa。
He has published quite a lot of articles.,2,他发表了不少文章。,tā fā biǎo le bù shǎo wén zhāng。
He has published quite a lot of articles.,2,他发表了不少文章。,tā fā biǎo le bù shǎo wén zhāng。
There's no room to work here.,2,这里没有可工作的空间.,zhè lǐ méi yǒu kě gōng zuò de kōng jiān.
This dress is of the latest design.,2,这件衣服是最新设计。,zhè jiàn yī fu shì zuì xīn shè jì。
She ran hither and thither in the orchard.,2,她在果园里到处跑。,tā zài guǒ yuán lǐ dào chù pǎo。
I've entered for the high jump.,2,我已报名参加跳高比赛.,wǒ yǐ bào míng cān jiā tiào gāo bǐ sài.
I wish he would arrive at some conclusion.,2,但愿他会有一结论。,dàn yuàn tā kuài yǒu yī jié lùn。
The tourists drove northwest.,2,游客们开车向西北而去。,yóu kè men kāi chē xiàng xī běi ér qù。
I have a good mind to study abroad.,2,我很想到国外去读书。,wǒ hěn xiǎng dào guó wài qù dú shū。
He wrote a composition or (he) read an essay.,2,他写作文或读散文。,tā xiě zuò wén huò dú sǎn wén。
The dresses on show are out of date.,2,展出的服装都过时了。,zhǎn chū de fú zhuāng dōu guò shí le。
Neither you nor I am wrong.,2,你也好，我也好，都没错。,nǐ yě hào， wǒ yě hào， dōu méi cuò。
One forth is a proper fraction.,2,四分之一是一个真分数。,sì fēn zhī yī shì yī gè zhēn fēn shù。
I planned to enlarge this photograph.,2,我计划放大这张照片。,wǒ jì huà fàng dà zhè zhāng zhào piàn。
The number of your finger is ten.,2,你双手手指的总数是10。,nǐ shuāng shǒu shǒu zhǐ de zǒng shù shì10。
She found great difficulties in understanding him.,2,她觉得很难理解他。,tā jué de hěn nàn lǐ jiě tā。
The whole school (was) assembled in the main hall.,2,全校在大礼堂集合.,quán xiào zài dà lǐ táng jí hé.
We went to the station to see her off.,2,我们去车站为她送行。,wǒ men qù chē zhàn wèi tā sòng xíng。
He lives in a cosy little room.,2,他住在一个舒适的小屋里。,tā zhù zài yī gè shū shì de xiǎo wū lǐ。
I leave a note on his desk.,2,我在他桌上留了张便条。,wǒ zài tā zhuō shàng liú le zhāng biàn tiáo。
No harm can come of trying.,2,试一下不会有什么坏处的。,shì yī xià bù huì yǒu shén me huài chu de。
This term will begin on March 1st.,2,这个学期三月一日开始。,zhè gè xué qī sān yuè yī rì kāi shǐ。
Don't disturb the paper on my desk.,2,别乱动我桌上的文件。,biè luàn dòng wǒ zhuō shàng de wén jiàn。
Native to or growing in the east.,2,东部本地的或长自东部的,dōng bù běn dì de huò zhǎng zì dōng bù de
The elemental truth was facing us.,2,基本的事实面对着我们。,jī běn de shì shí miàn duì zhuó wǒ men。
His composition is far superior to mine.,2,他的作文比我的好多了。,tā de zuò wén bì wǒ de hǎo duō le。
I'm sorry; I've forgotten your name.,2,对不起，我忘了你的名字。,duì bù qǐ， wǒ wàng le nǐ de míng zi。
Quite a few people came to the lecture.,2,有相当多的人来听讲.,yǒu xiāng dāng duō de rén lái tīng jiǎng.
It must be about four thirty.,2,现在想必是四点半左右。,xiàn zài xiǎng bì shì sì diǎn bàn zuǒ yòu。
An assistant teacher in a school.,2,助教学校中的助理教员,zhù jiào xué xiào zhòng dì zhù lǐ jiào yuán
The score was 3 to 1 in our favor.,2,"比分为3比1, 对我方有利。","bǐ fēn wèǐ bì1,  duì wǒ fāng yǒu lì。"
Blue is a very becoming color on me.,2,我穿蓝色衣服非常适合。,wǒ chuān lán sè yī fu fēi cháng shì hé。
He was small and healthily built.,2,他个子小但身体很健康。,tā gè zi xiǎo dàn shēn tǐ hěn jiàn kāng。
The blackboard is in the front of the classroom.,2,黑板在教室的前面。,hēi bǎn zài jiào shì de qián mian。
The number of your finger is ten.,2,你双手手指的总数是10。,nǐ shuāng shǒu shǒu zhǐ de zǒng shù shì10。
The news he told me is truthful.,2,他告诉我的消息是真实的。,tā gào su wǒ de xiāo xi shì zhēn shí de。
Something urgent has called him away.,2,有要紧的事把他叫走了。,yǒu yào jǐn de shì bǎ tā jiào zǒu le。
Such people as are friendly are easy to approach.,2,亲切之人容易接近。,qīn qiè zhī rén róng yì jiē jìn。
It is important that he not do it.,2,他不该做那事是有必要的。,tā bù gāi zuò nà shì shì yǒu bì yào de。
I will come provided that I am well enough.,2,只要我身体好一定来。,zhǐ yào wǒ shēn tǐ hào yī dìng lái。
Grandma could hardly believe it.,2,奶奶简直不能相信这事。,nǎi nai jiǎn zhí bù néng xiāng xìn zhè shì。
She went into the inner room to change her dress.,2,她走进内室去换衣服。,tā zǒu jìn nèi shì qù huàn yī fu。
He hastened (away) to the office.,2,他急急忙忙到办公室去了.,tā jí jí máng máng dào bàn gōng shì qù le.
She is a conscientious teacher.,2,她是一个有责任心的教师。,tā shì yī gè yǒu zé rèn xīn de jiào shī。
We should make a distinction between right and wrong.,2,我们应该分清是非。,wǒ men yīng gāi fēn qīng shì fēi。
She poured hot water from the thermos.,2,她从热水瓶倒出热水。,tā zòng rè shuǐ píng dào chū rè shuǐ。
She tries up to live up to her ideals.,2,她努力要实现她的理想。,tā nǔ lì yào shí xiàn tā de lǐ xiǎng。
I hope we can part as friends.,2,我希望我们和和气气地分手。,wǒ xī wàng wǒ men huò hé qi qì de fēn shǒu。
We have three periods of chemistry a week.,2,我们一星期三节化学课。,wǒ men yī xīng qī sān jié huà xué kè。
Acrobatics takes a long time to learn.,2,杂技要用很长时间学习.,zá jì yào yòng hěn zhǎng shí jiān xué xí.
He sat in a draught and catch a cold.,2,他坐在风口上，着凉了。,tā zuò zài fēng kǒu shàng， zháo liáng le。
Morning assembly is held in the school hall.,2,晨会在学校礼堂举行.,chén kuài zài xué xiào lǐ táng jǔ xíng.
He always asks after you in his letters.,2,他每次来信都向你问候.,tā měi cì lái xìn dōu xiàng nǐ wèn hòu.
The student mobilize quickly.,2,学生们很快就动员起来了。,xué sheng men hěn kuài jiù dòng yuán qǐ lai le。
Most students passed the examination.,2,大多数学生通过了考试。,dà duō shù xué sheng tōng guò le kǎo shì。
I haven't seen Charlie for a dog's age.,2,我好久没有见到查理了。,wǒ hǎo jiǔ méi yǒu xiàn dào zhā lǐ le。
Her eagerness moved all the people.,2,她的热心感动了所有的人。,tā de rè xīn gǎn dòng le suǒ yǒu de rén。
He did the work under my direction.,2,他在我的指导下做这件事.,tā zài wǒ de zhǐ dǎo xià zuò zhè jiàn shì.
I hope to get away early in the morning.,2,我希望一早就动身离开。,wǒ xī wàng yī zǎo jiù dòng shēn lí kāi。
Her eagerness moved all the people.,2,她的热心感动了所有的人。,tā de rè xīn gǎn dòng le suǒ yǒu de rén。
We work in the day and rest at night.,2,我们白天工作晚上休息。,wǒ men bái tiān gōng zuò wǎn shang xiū xi。
The children flew to meet their mother.,2,孩子们飞跑过去迎接妈妈.,hái zi men fēi pǎo guò qu yíng jiē mā ma.
He cleaved an apple with a knife.,2,他用一把刀子将苹果切开。,tā yòng yī bǎ dāo zi jiàng píng guǒ qiè kāi。
"To start with, we haven't got the approval.",2,"首先, 我们没得到批准。","shǒu xiān,  wǒ men mò dé dào pī zhǔn。"
I am skilled in operating a computer.,2,我能够熟练操作计算机。,wǒ néng gòu shú liàn cāo zuò jì suàn jī。
She's rather unpopular with the boss at the moment.,2,老板现在不想见她。,lǎo bǎn xiàn zài bù xiǎng xiàn tā。
Please bear in mind that the train leaves at midnight.,2,"记住, 火车半夜离开。","jì zhu,  huǒ chē bàn yè lí kāi。"
You are either with me or against me.,2,你不是支持我就是反对我。,nǐ bú shì zhī chí wǒ jiù shì fǎn duì wǒ。
She should not give publicity to my letter.,2,她不应该把我的信公开。,tā bù yīng gāi bǎ wǒ de xìn gōng kāi。
The family is the smallest social unit.,2,家庭是社会最小的单位。,jiā tíng shì shè huì zuì xiǎo de dān wèi。
He has received a swarm of letters.,2,他已经收到了一大批信件。,tā yǐ jīng shōu dào le yī dà pī xìn jiàn。
We had to set out on short notice.,2,"一接到通知,我们就出发了。","yī jiē dào tōng zhī, wǒ men jiù chū fā le。"
The accident is under investigation.,2,这一事故正在调查之中。,zhè yī shì gù zhèng zài diào chá zhī zhōng。
It can happen to anyone.,2,这事可能发生在任何人身上。,zhè shì kě néng fā shēng zài rèn hé rén shēn shàng。
We decided to set up a cooperative.,2,我们决定开办一家合作社。,wǒ men jué dìng kāi bàn yī jiā hé zuò shè。
He wrote down his name on the list.,2,他将他的名字写在清单上。,tā jiàng tā de míng zi xiě zài qīng dān shàng。
It was very thoughtful of you to send flowers.,2,"你送花来, 想得真周到.","nǐ sòng huā lái,  xiǎng de zhēn zhōu dào."
The office was light and airy.,2,那间办公室又明亮又通风.,nà jiàn bàn gōng shì yòu míng liàng yòu tōng fēng.
The yolk is the yellow part in an egg.,2,蛋黄是鸡蛋中的黄色部分.,dàn huáng shì jī dàn zhòng dì huáng sè bù fen.
He can speak English fluently and accurately.,2,他能准确流利地说英语。,tā néng zhǔn què liú lì de shuō Yīng yǔ。
I prefer to deal with him direct.,2,还是我直接跟他打交道为好,hái shì wǒ zhí jiē gēn tā dǎ jiāo dào wèi hào
The man in the street is opposed to this idea.,2,老百姓反对这种想法.,lǎo bǎi xìng fǎn duì zhè zhǒng xiǎng fǎ.
A brief note or memorandum.,2,便条简短的便条或备忘字条,biàn tiáo jiǎn duǎn de biàn tiáo huò bèi wàng zì tiáo
It's the in-thing to do at the moment.,2,这是目前最时兴的做法了。,zhè shì mù qián zuì shí xīng de zuò fǎ le。
They decided to set up a cooperative.,2,他们决定开办一家合作社。,tā men jué dìng kāi bàn yī jiā hé zuò shè。
You had better hear what I'll say.,2,你最好听听我要说些什么。,nǐ zuì hǎo tìng tìng wǒ yào shuō xiē shén me。
It's a beneficial result to us.,2,对我们来说那是有利的结果。,duì wǒ men lái shuō nà shì yǒu lì de jié guǒ。
We can't see stars in the daytime.,2,我们不能在白天看到星星。,wǒ men bù néng zài bái tiān kàn dào xīng xing。
She set up shop as a bookseller in the High Street.,2,她在大街开了一家书店.,tā zài dà jiē kāi le yī jiā shū diàn.
She has no close friends other than him.,2,她除了他以外没有好朋友。,tā chú le tā yǐ wài méi yǒu hào péng you。
He has a mellow attitude to life.,2,他对生活有种成熟的看法。,tā duì shēng huó yǒu zhòng chéng shú de kàn fǎ。
This picture is a closeness of the human eye.,2,这张照片是人眼的特写。,zhè zhāng zhào piàn shì rén yǎn de tè xiě。
There is plenty of space here to move about.,2,这里有很大的活动空间。,zhè lǐ yǒu hěn dà de huó dòng kōng jiān。
The advertising slogan was a play on words.,2,那条广告口号是双关语.,nà tiáo guǎng gào kǒu hào shì shuāng guān yù.
The good video is always rented out.,2,好看的录像带总是被借走。,hǎo kàn de lù xiàng dài zǒng shì bèi jiè zǒu。
That is the man I saw yesterday.,2,那就是我昨天见到的那个人。,nà jiù shì wǒ zuó tiān xiàn dào de nèi gè rén。
The deal needs the government's seal of approval.,2,这一交易需经政府批准.,zhè yī jiāo yì xū jīng zhèng fǔ pī zhǔn.
Sometimes the patient cried for the pain.,2,有时这个病人疼得哭起来。,yǒu shí zhè gè bìng rén téng de kū qǐ lai。
I learned this news from the newspaper.,2,我从报纸上得知这个消息。,wǒ zòng bào zhǐ shàng dé zhī zhè gè xiāo xi。
There's been an overall improvement recently.,2,近来各方面都有所改进。,jìn lái gè fāng miàn dōu yǒu suǒ gǎi jìn。
I had my hair cut at the barber's yesterday.,2,我昨天在理发店里理了发。,wǒ zuó tiān zài lǐ fà diàn lǐ lǐ le fà。
There's no need to upset yourself.,2,你用不着让自己这么不安的。,nǐ yòng bù zhuó ràng zì jǐ zhè me bù ān de。
This boy has a faculty of making friends easily.,2,这个男孩有交友的能力。,zhè gè nán hái yǒu jiāo yǒu de néng lì。
There's been an overall improvement recently.,2,近来各方面都有所改进。,jìn lái gè fāng miàn dōu yǒu suǒ gǎi jìn。
There are a succession of rainy days here.,2,这里一连好几天都是雨天。,zhè lǐ yī lián hǎo jǐ tiān dōu shì yǔ tiān。
Your friendship means a great deal to me.,2,你和我的友谊对我意义重大.,nǐ huò wǒ de yǒu yì duì wǒ yì yì zhòng dà.
One has to be confident in himself.,2,一个人一定要对自己有信心。,yī gè rén yī dìng yào duì zì jǐ yǒu xìn xīn。
The whole job only takes half an hour.,2,整个工作只需要半个小时。,zhěng gè gōng zuò zhǐ xū yào bàn gè xiǎo shí。
Don't forget to date your cheque.,2,不要忘记在支票上写上日期.,bù yào wàng jì zài zhī piào shàng xiě shàng rì qī.
These two events were related to each other.,2,这两个事件相互有联系。,zhè liǎng gè shì jiàn xiāng hù yǒu lián xì。
She has a comprehensive grasp of the subject.,2,她已全面掌握了这一学科。,tā yǐ quán miàn zhǎng wò le zhè yī xué kē。
Rice is our essential foodstuff in life.,2,大米是我们生活的基本食物。,dà mǐ shì wǒ men shēng huó de jī běn shí wù。
I summed her up as a competent manager.,2,我认为她是个很能干的经理.,wǒ rèn wéi tā shì gè hěn néng gàn de jīng lǐ.
This is only one instance out of many.,2,这不过是许多例子中的一个。,zhè bù guò shì xǔ duō lì zi zhòng dì yī gè。
Her work is a cut above that of the others.,2,她干的工作比别人要好些。,tā gàn de gōng zuò bì bié rén yào hǎo xiē。
I sat opposite to him during the meal.,2,吃饭的时候我坐在他的对面。,chī fàn de shí hou wǒ zuò zài tā de duì miàn。
"He said he would come, and sure enough he did.",2,他说他会来的，果然来了。,tā shuō tā kuài lái de， guǒ rán lái le。
He was saddened at the memory of her death.,2,他想到她已死去就很难过。,tā xiǎng dào tā yǐ sǐ qù jiù hěn nán guò。
We were aware of the problem beforehand.,2,我们事先就知道有这个问题.,wǒ men shì xiān jiù zhī dào yǒu zhè gè wèn tí.
We must drink to the health of the bride.,2,我们要为新娘的健康干杯。,wǒ men yào wèi xīn niáng de jiàn kāng gān bēi。
It is necessary that he be sent there at once.,2,有必要马上派他到那里去。,yǒu bì yào mǎ shàng pài tā dào nà li qù。
We should study our ancestral achievements.,2,我们应该学习祖先的成就。,wǒ men yīng gāi xué xí zǔ xiān de chéng jiù。
Some scientists experiment on animals.,2,有些科学家用动物做试验。,yǒu xiē kē xué jiā yòng dòng wù zuò shì yàn。
We can harness the power of the wind to make electricity.,2,我们可以利用风力发电.,wǒ men kě yǐ lì yòng fēng lì fā diàn.
You'll see the post office on your right.,2,在你的右边能看到那个邮局.,zài nǐ de yòu biān néng kàn dào nèi gè yóu jú.
We should be responsible for the generation as yet unborn.,2,我们应该对下一代负责。,wǒ men yīng gāi duì xià yī dài fù zé。
They will go to the zoo or play volleyball.,2,他们要去动物园或打排球。,tā men yào qù dòng wù yuán huò dǎ pái qiú。
I unlocked the door and went into the room.,2,我打开房门，然后走进屋里。,wǒ dǎ kāi fáng mén， rán hòu zǒu jìn wū lǐ。
"Wherever you are, I will miss you.",2,不论你在哪里，我都会想念你。,bù lùn nǐ zài nǎ li， wǒ dū huì xiǎng niàn nǐ。
The two systems of government are polar opposites.,2,这两种政体正好相反。,zhè liǎng zhòng zhèng tǐ zhèng hǎo xiāng fǎn。
A comfortable house may be an Eden.,2,一个舒适的家可以是一个乐园。,yī gè shū shì de jiā kě yǐ shì yī gè lè yuán。
We all went to the airport to see her off.,2,我们都去飞机场为她送行了.,wǒ men dōu qù fēi jī chǎng wèi tā sòng xíng le.
There was a lot of traffic on the roads.,2,这些道路上车辆行人很多。,zhè xie dào lù shàng chē liàng xíng rén hěn duō。
The road bridge is now open to traffic.,2,这座公路桥现在开放通行。,zhè zuò gōng lù qiáo xiàn zài kāi fàng tōng xíng。
The prevailing wind here is from the south-west.,2,这里最常刮的风是西南风.,zhè lǐ zuì cháng guā de fēng shì xī nán fēng.
"After breakfast, I'll get ready to go to work.",2,早饭后，我就准备去上班。,zǎo fàn hòu， wǒ jiù zhǔn bèi qù shàng bān。
We shall find out the truth early or late.,2,我们迟早会查明事实真相。,wǒ men chí zǎo kuài chá míng shì shí zhēn xiàng。
There are many refugees from that country.,2,有许多来自那个国家的难民。,yǒu xǔ duō lái zì nèi gè guó jiā de nàn mín。
He showed me a photo of a family group.,2,他给我看一张合家欢的照片。,tā jǐ wǒ kàn yī zhāng hé jiā huān de zhào piàn。
A little of it will not do you any harm.,2,一点点对你不会有什么坏处。,yī diǎn diǎn duì nǐ bù huì yǒu shén me huài chu。
Her time was just under four minutes.,2,她用的时间正好不到四分钟。,tā yòng de shí jiān zhèng hǎo bù dào sì fēn zhōng。
His house is in the northeast of this city.,2,他的家在这个城市的东北部。,tā de jiā zài zhè gè chéng shì de dōng běi bù。
The library is open to readers on every Friday.,2,图书馆每周五对读者开放。,tú shū guǎn měi zhōu wǔ duì dú zhě kāi fàng。
I took off my overcoat since it was warm.,2,天气很暖和，我就把大衣脱了。,tiān qì hěn nuǎn huó， wǒ jiù bǎ dà yī tuō le。
The library is open to readers on every Friday.,2,图书馆每周五对读者开放。,tú shū guǎn měi zhōu wǔ duì dú zhě kāi fàng。
My father asked me to see the customer to the door.,2,我父亲要我送顾客到门口。,wǒ fù qīn yào wǒ sòng gù kè dào mén kǒu。
The mission of a university is teaching and research.,2,大学的任务是教学和科研。,dà xué de rèn wu shì jiào xué huò kē yán。
We placed everything at his disposal.,2,我们把一切事情都交给他处理。,wǒ men bǎ yī qiè shì qing dōu jiāo gěi tā chǔ lǐ。
Hang the picture on the wall opposite the window.,2,把画挂在窗户对面的墙上.,bǎ huà guà zài chuāng hu duì miàn de qiáng shàng.
The time for our meeting has been fixed already.,2,我们开会的时间已经确定了.,wǒ men kāi huì de shí jiān yǐ jīng què dìng le.
"To tell the truth, I don't agree to your plan.",2,老实讲，我不同意你的计划。,lǎo shí jiǎng， wǒ bù tóng yì nǐ de jì huà。
